id,y_2010
1,1.284883036
2,0.101154444
3,19.48499449
4,0.066702663
5,17.25245564
6,9.04727907
7,0.358960519
8,5.967935269
9,1.923324303
10,1.761066139
11,1.64428794
12,1.783992722
13,2.508962573
14,1.920979939
15,0.414428532
16,0.476114606
17,0.527096428
18,0.357921069
19,4.806009883
20,5.188346064
21,0.88508627
22,2.190745225
23,0.26581372
24,0.419841394
25,4.00011374
26,0.373725576
27,0.531750112
28,1.185931986
29,0.226600741
30,0.266859576
31,0.856800629
32,0.666165357
33,0.330951535
34,0.783905021
35,0.309745821
36,4.329841778
37,0.848165037
38,1.854806201
39,0.875012186
40,0.64207343
41,0.594458974
42,3.400243587
43,0.294960583
44,4.345266528
45,0.373135573
46,3.752826212
47,0.767949868
48,2.454938066
49,0.554277327
50,0.273192157
51,0.912292084
52,0.250494356
53,0.223979258
54,0.777037696
55,1.243478857
56,1.40488895
57,1.176545352
58,0.307958713
59,1.140206279
60,0.675688837
61,1.605270273
62,0.481227092
63,0.342600837
64,1.156947344
65,18.24984792
66,0.497153455
67,0.525348583
68,0.552971017
69,0.886715598
70,0.343335558
71,0.53724965
72,0.181779787
73,0.180034406
74,2.564068461
75,0.335045957
76,0.28159966
77,0.616942374
78,0.256367128
79,0.235178278
80,0.173379919
81,0.15820142
82,0.496192663
83,0.195696878
84,0.430507703
85,0.200266836
86,0.101660717
87,0.257591559
88,0.19528094
89,0.145393961
90,0.520618382
91,0.453270034
92,0.177940521
93,0.433300968
94,0.35662371
95,0.891452701
96,0.667712881
97,0.282125829
98,0.568419595
99,0.392115669
100,0.680159018
101,0.23446077
102,0.716691614
103,2.788093119
104,0.634938468
105,0.958226225
106,0.128587236
107,0.347676537
108,0.351139968
109,1.821663277
110,0.71374656
111,1.303111914
112,0.653876595
113,1.850726184
114,33.80656688
115,2.761875967
116,0.628793401
117,1.278140941
118,11.20019884
119,0.329992648
120,0.815515339
121,0.183238566
122,0.690685937
123,0.599079151
124,1.852390211
125,4.790395111
126,0.593992964
127,3.623867402
128,1.634090705
129,2.735990269
130,0.933345945
131,1.419213024
132,0.325914264
133,0.213915733
134,0.667550257
135,2.06870952
136,1.600499557
137,11.56991177
138,4.086255632
139,0.999827033
140,5.857019058
141,2.880643822
142,0.468481012
143,0.195212712
144,1.425157598
145,0.609783314
146,2.357877938
147,3.392054106
148,1.904870875
149,1.372102984
150,2.781425804
151,8.236903655
152,1.057802272
153,0.161973569
